# File created on Tue Feb 24 19:53:24 2026
#
# time         
0              0               4.4615385       0               0               -5.5384615      0              
0.41666667     -0.0013351468   4.461533        1.4062084e-09   0.0030306171    -5.5384044      8.0362284e-08  
0.83333333     -0.01151188     4.4614681       3.1820528e-09   0.020619316     -5.5380479      3.8451596e-08  
1.25           -0.029843995    4.4612186       1.2394058e-08   0.04863884      -5.5374247      1.0768903e-07  
1.6666667      -0.053220304    4.4607497       2.8719883e-08   0.082379897     -5.5363222      9.4683045e-07  
2.0833333      -0.079973289    4.4600895       1.3779781e-07   0.1194582       -5.5345225      2.9831307e-06  
2.5            -0.1091479      4.4592553       1.1453762e-07   0.15853559      -5.5315342      2.9814566e-06  
2.9166667      -0.13996139     4.4580382       4.2076259e-06   0.19870132      -5.5275072      5.475078e-06   
3.3333333      -0.17176244     4.455452        1.207569e-05    0.24082616      -5.5236889      2.4803763e-06  
3.75           -0.20457566     4.4543778       3.5543428e-06   0.28395275      -5.5200701      1.6695483e-06  
4.1666667      -0.23829275     4.4527148       2.6950508e-06   0.32789878      -5.5163905      1.0806889e-06  
4.5833333      -0.2728641      4.4501708       1.9196383e-06   0.37237949      -5.5123964      4.6883855e-07  
5              -0.3081078      4.4469526       9.9422225e-07   0.41715199      -5.5079563      1.3530549e-07  
5.4166667      -0.34369548     4.4432446       4.7870043e-07   0.46207601      -5.50301        1.0510446e-09  
5.8333333      -0.37945074     4.4391822       1.6820186e-07   0.50707923      -5.4975368      2.3625168e-06  
6.25           -0.41528987     4.4348304       1.8771935e-07   0.55214619      -5.4915517      7.7452026e-06  
6.6666667      -0.45116442     4.430204        2.9668262e-06   0.59730462      -5.4850835      1.4042002e-05  
7.0833333      -0.48707358     4.4252977       6.6875168e-06   0.64260934      -5.4781715      1.9591515e-05  
7.5            -0.52302783     4.4201066       1.059028e-05    0.68811397      -5.4708172      2.3767264e-05  
7.9166667      -0.55905288     4.414621        1.4438796e-05   0.733879        -5.4630056      2.7023016e-05  
8.3333333      -0.59518642     4.4088276       1.7868328e-05   0.779983        -5.4547387      2.9740799e-05  
8.75           -0.6314731      4.4027131       2.0504717e-05   0.82649315      -5.4460195      3.0974682e-05  
9.1666667      -0.66795895     4.3962661       2.2490471e-05   0.87345312      -5.4368373      3.1088074e-05  
