# File created on Tue Feb 24 19:53:24 2026
#
# time         R02m-02         I02m-02         R02m-01         I02m-01         R02m000         I02m000         R02m001         I02m001         R02m002         I02m002         R03m-03         I03m-03         R03m-02         I03m-02         R03m-01         I03m-01         R03m000         I03m000         R03m001         I03m001         R03m002         I03m002         R03m003         I03m003         R04m-04         I04m-04         R04m-03         I04m-03         R04m-02         I04m-02         R04m-01         I04m-01         R04m000         I04m000         R04m001         I04m001         R04m002         I04m002         R04m003         I04m003         R04m004         I04m004         
0              4.0990788e-06   1.9220045e-05   8.2180946e-08   -9.5605594e-10  3.3954095e-06   0               8.2180946e-08   9.5605594e-10   4.0990788e-06   -1.9220045e-05  6.0561175e-07   -1.2405948e-07  2.8264639e-08   2.655412e-07    1.566666e-07    -9.2926957e-08  0               1.4654827e-07   -1.566666e-07   -9.2926957e-08  -2.8264639e-08  2.655412e-07    -6.0561175e-07  -1.2405948e-07  1.4278127e-07   -3.4501075e-07  -3.7547447e-09  2.9032778e-09   -8.6972151e-08  -2.7804343e-07  -2.146483e-09   -3.5089335e-09  2.9892304e-07   0               -2.146483e-09   3.5089335e-09   -8.6972151e-08  2.7804343e-07   -3.7547447e-09  -2.9032778e-09  1.4278127e-07   3.4501075e-07  
0              8.4696186e-06   3.2598239e-05   1.6583266e-07   -2.8999147e-09  7.0371368e-06   0               1.6583266e-07   2.8999147e-09   8.4696186e-06   -3.2598239e-05  1.2400034e-06   -3.0995419e-07  8.3949873e-08   6.4863732e-07   3.208756e-07    -2.3061337e-07  0               3.6043952e-07   -3.208756e-07   -2.3061337e-07  -8.3949873e-08  6.4863732e-07   -1.2400034e-06  -3.0995419e-07  4.185122e-07    -8.5283061e-07  -1.2678711e-08  9.8055252e-09   -2.5652685e-07  -6.7989261e-07  -4.4494737e-09  -8.7319982e-09  8.8129283e-07   0               -4.4494737e-09  8.7319982e-09   -2.5652685e-07  6.7989261e-07   -1.2678711e-08  -9.8055252e-09  4.185122e-07    8.5283061e-07  
0.41666667     7.7525553e-08   1.074616e-06    1.725623e-09    -3.9268496e-12  6.3859024e-08   0               1.725623e-09    3.9268496e-12   7.7525553e-08   -1.074616e-06   1.255163e-08    -8.6656853e-10  7.4559933e-11   2.1114542e-09   3.2423973e-09   -6.6124829e-10  0               1.154423e-09    -3.2423973e-09  -6.6124829e-10  -7.4559933e-11  2.1114542e-09   -1.255163e-08   -8.6656853e-10  4.4652549e-10   -2.6883661e-09  -1.5893239e-11  9.9472013e-12   -2.3140939e-10  -2.2145567e-09  -8.7759908e-12  -1.3158312e-11  8.5955451e-10   0               -8.7759908e-12  1.3158312e-11   -2.3140939e-10  2.2145567e-09   -1.5893239e-11  -9.9472013e-12  4.4652549e-10   2.6883661e-09  
0.41666667     1.0102254e-07   1.301551e-06    2.2305784e-09   -3.6733576e-12  8.3225154e-08   0               2.2305784e-09   3.6733576e-12   1.0102254e-07   -1.301551e-06   1.6222058e-08   -1.2036032e-09  1.1357423e-10   2.9094078e-09   4.1863294e-09   -9.2281718e-10  0               1.5901263e-09   -4.1863294e-09  -9.2281718e-10  -1.1357423e-10  2.9094078e-09   -1.6222058e-08  -1.2036032e-09  6.5121142e-10   -3.7061767e-09  -2.0501947e-11  1.115189e-11    -3.4642723e-10  -3.0519916e-09  -5.6064907e-12  -1.3570879e-11  1.2639666e-09   0               -5.6064907e-12  1.3570879e-11   -3.4642723e-10  3.0519916e-09   -2.0501947e-11  -1.115189e-11   6.5121142e-10   3.7061767e-09  
0.41666667     1.3397657e-07   1.5971388e-06   2.9310966e-09   -5.6098857e-12  1.1039206e-07   0               2.9310966e-09   5.6098857e-12   1.3397657e-07   -1.5971388e-06  2.133916e-08    -1.7111673e-09  1.7628495e-10   4.098264e-09    5.5066322e-09   -1.3110149e-09  0               2.2387631e-09   -5.5066322e-09  -1.3110149e-09  -1.7628495e-10  4.098264e-09    -2.133916e-08   -1.7111673e-09  9.7546943e-10   -5.2232509e-09  -2.9316649e-11  1.5657237e-11   -5.3114592e-10  -4.3008311e-09  -8.2255515e-12  -2.0394041e-11  1.9078252e-09   0               -8.2255515e-12  2.0394041e-11   -5.3114592e-10  4.3008311e-09   -2.9316649e-11  -1.5657237e-11  9.7546943e-10   5.2232509e-09  
0.41666667     1.8130526e-07   1.9894372e-06   3.9276743e-09   -1.0079579e-11  1.4941964e-07   0               3.9276743e-09   1.0079579e-11   1.8130526e-07   -1.9894372e-06  2.8645859e-08   -2.4987713e-09  2.781953e-10    5.9052599e-09   7.3940449e-09   -1.9077301e-09  0               3.2322916e-09   -7.3940449e-09  -1.9077301e-09  -2.781953e-10   5.9052599e-09   -2.8645859e-08  -2.4987713e-09  1.506211e-09    -7.5499685e-09  -4.8804458e-11  2.8894877e-11   -8.353549e-10   -6.1985363e-09  -1.7395186e-11  -3.5398801e-11  2.9711116e-09   0               -1.7395186e-11  3.5398801e-11   -8.353549e-10   6.1985363e-09   -4.8804458e-11  -2.8894877e-11  1.506211e-09    7.5499685e-09  
0.41666667     2.5116068e-07   2.521324e-06    5.3937508e-09   -1.2251217e-11  2.0704642e-07   0               5.3937508e-09   1.2251217e-11   2.5116068e-07   -2.521324e-06   3.9354756e-08   -3.7435998e-09  4.5745358e-10   8.8937393e-09   1.0150629e-08   -2.8694144e-09  0               4.8048076e-09   -1.0150629e-08  -2.8694144e-09  -4.5745358e-10  8.8937393e-09   -3.9354756e-08  -3.7435998e-09  2.4091705e-09   -1.1238225e-08  -6.3929954e-11  2.8628468e-11   -1.3636051e-09  -9.3466809e-09  -1.4523714e-11  -4.6482661e-11  4.790899e-09    0               -1.4523714e-11  4.6482661e-11   -1.3636051e-09  9.3466809e-09   -6.3929954e-11  -2.8628468e-11  2.4091705e-09   1.1238225e-08  
0.41666667     3.5764568e-07   3.2612001e-06   7.6013176e-09   -2.169811e-11   2.9491097e-07   0               7.6013176e-09   2.169811e-11    3.5764568e-07   -3.2612001e-06  5.5587726e-08   -5.8303143e-09  7.4947475e-10   1.3530331e-08   1.4338128e-08   -4.4541503e-09  0               7.3909604e-09   -1.4338128e-08  -4.4541503e-09  -7.4947475e-10  1.3530331e-08   -5.5587726e-08  -5.8303143e-09  4.017107e-09    -1.7314676e-08  -1.1740251e-10  6.3917524e-11   -2.2818246e-09  -1.4217018e-08  -3.2223424e-11  -8.1107183e-11  8.0557094e-09   0               -3.2223424e-11  8.1107183e-11   -2.2818246e-09  1.4217018e-08   -1.1740251e-10  -6.3917524e-11  4.017107e-09    1.7314676e-08  
0.41666667     5.2616885e-07   4.3210669e-06   1.1056592e-08   -4.8706488e-11  4.3406159e-07   0               1.1056592e-08   4.8706488e-11   5.2616885e-07   -4.3210669e-06  8.1125325e-08   -9.4638529e-09  1.3279171e-09   2.157501e-08    2.0944322e-08   -7.1857621e-09  0               1.1838746e-08   -2.0944322e-08  -7.1857621e-09  -1.3279171e-09  2.157501e-08    -8.1125325e-08  -9.4638529e-09  7.0362547e-09   -2.7789843e-08  -2.2248106e-10  1.4013016e-10   -4.0551518e-09  -2.2675976e-08  -9.3785279e-11  -1.7070224e-10  1.4230004e-08   0               -9.3785279e-11  1.7070224e-10   -4.0551518e-09  2.2675976e-08   -2.2248106e-10  -1.4013016e-10  7.0362547e-09   2.7789843e-08  
0.41666667     8.0525532e-07   5.8939787e-06   1.6733918e-08   -9.0436987e-11  6.6472252e-07   0               1.6733918e-08   9.0436987e-11   8.0525532e-07   -5.8939787e-06  1.2314182e-07   -1.6113473e-08  2.5516062e-09   3.667552e-08    3.1786432e-08   -1.221172e-08   0               1.9918039e-08   -3.1786432e-08  -1.221172e-08   -2.5516062e-09  3.667552e-08    -1.2314182e-07  -1.6113473e-08  1.3082737e-08   -4.6871991e-08  -4.0765165e-10  2.4671609e-10   -7.7093366e-09  -3.8603213e-08  -1.6529737e-10  -3.1422285e-10  2.6678435e-08   0               -1.6529737e-10  3.1422285e-10   -7.7093366e-09  3.8603213e-08   -4.0765165e-10  -2.4671609e-10  1.3082737e-08   4.6871991e-08  
