#  corrdinate, H_Res, Px_Res, Py_Res, Pz_Res, Gx_Res, Gy_Res, Gz_Res, ....
      0.16 1.08277973655618e-05 -6.20686606794073e-06 -1.92402254052619e-05 4.97012914859917e-09 -2.49769974471802e-06 1.22200792782066e-05 -2.09366364503647e-09
      0.48 1.25367025356568e-05 -2.20917530673943e-05 -1.43653400815693e-05 4.69415284166636e-09 5.26593251819676e-06 3.2658341723702e-05 -2.1173851851367e-09
       0.8 2.16186251830734e-05 -3.07498079490575e-05 -1.45750577697483e-05 4.376050857721e-09 1.29301753068621e-05 3.83480167452638e-05 -1.28053168426366e-09
      1.12 1.27974618340083e-06 -2.71314140668378e-05 -1.83513008981642e-05 6.61174988152574e-10 2.16646163153903e-05 2.29550022777313e-05 2.52498265822982e-11
      1.44 -4.82830672061364e-05 -2.12994779530015e-05 -1.97152275984225e-05 3.58176053415491e-09 3.04000532730624e-05 -3.55473589763583e-06 1.58983675335979e-09
      1.76 -5.65007126970026e-05 -1.22528786004377e-05 -1.21895932317053e-05 4.457846061921e-10 3.96071455086389e-05 -2.66966085865888e-05 2.02965889632694e-09
      2.08 -1.97727905290966e-05 2.01803655288408e-06 -1.54473016449823e-06 7.59408695176858e-09 4.96277640527195e-05 -3.94716169977945e-05 8.8480113079395e-10
       2.4 -8.95784753309627e-06 1.57315065269629e-05 1.13473880216361e-05 8.13090127166116e-09 5.71958285517415e-05 -3.96998631407293e-05 2.64878146076248e-09
      2.72 -3.31403385092885e-05 2.90073583534604e-05 2.68260267248561e-05 2.45769433752283e-08 6.115082712451e-05 -2.93464397616953e-05 8.06868467231575e-09
      3.04 -6.37121924218103e-05 4.12092823794706e-05 3.1633783109292e-05 2.68476645201692e-08 6.32550326534594e-05 -1.67306227810192e-05 9.19600724190569e-09
      3.36 -0.000129534347889392 5.27348237652014e-05 2.10979818595132e-05 -4.41886309426882e-09 6.21987549973438e-05 -9.4249823280516e-06 4.58442578558772e-09
      3.68 -0.000228253896277165 5.52478161139235e-05 1.10486719822172e-05 -4.49621209730683e-09 5.49174501158076e-05 -7.09249359172546e-06 5.00251916920578e-09
         4 -0.000256515871251275 4.27619982696269e-05 7.8779482609821e-06 -9.24718433006984e-09 4.19722096773676e-05 -9.54634294862407e-06 5.27033611177292e-09
